address,contact_email,contact_irc,contact_ml,contact_wiki,id,lat,lng,name,url
"Marssteden 98, 7547TD Enschede, The Netherlands",bestuur@tkkrlab.nl,irc://irc.libera.chat:6697/tkkrlab,,,152,52.2163366,6.8205472,TkkrLab,https://tkkrlab.nl
"Bergheimerstr. 6, 88677 Markdorf, Germany",contact@toolbox-bodensee.de,,,,153,47.712,9.399,Toolbox Bodensee e.V.,https://toolbox-bodensee.de
"Hochstraße 10, 59425 Unna, Deutschland",info@un-hack-bar.de,,,,154,51.53803424191252,7.673649787902833,UN-Hack-Bar e.V.,https://www.un-hack-bar.de
"Fabriksgatan 8b, 90331 Umeå, Sweden",info@umeahackerspace.se,irc://irc.hethane.se/uhck,,,155,63.82326,20.28208,Umeå Hackerspace,https://umeahackerspace.se/
"Av. Franklin Roosevelt 50, 1000 Brussels, Belgium - ULB: UB2.126",contact@urlab.be,irc://irc.libera.chat#urlab,hackulb@cerkinfo.be,,156,50.8115138,4.3828331,UrLab,https://urlab.be
"Herrystraat 22, 2100 Deurne (Antwerp), Belgium",voidwarranties@hacktheplanet.be,,,,157,51.208683,4.453435,VoidWarranties,https://we.voidwarranties.be
"warpzone e.V., Am Hawerkamp 31 Haus G, 48155 Münster, Germany",verwaltung@warpzone.ms,irc://hackint.org/#warpzone,warpzone@warpzone.ms,,158,51.9436176,7.6381682,warpzone ,https://www.warpzone.ms
"ul. Wolność 2A, 01-018 Warszawa, Poland",,irc://irc.libera.chat/#hswaw,waw@lists.hackerspace.pl,,159,52.2416,20.98485,Warsaw Hackerspace,https://hackerspace.pl
"Rheinstraße 96, Ransbach-Baumbach, Germany",vorstand@westwoodlabs.de,ircs://irc.hackint.org:6697/westwoodlabs,,,160,50.46296,7.7248087,Westwoodlabs,https://westwoodlabs.de
"Zeuskelder, gebouw S9, Krijgslaan 281, Ghent, Belgium",bestuur@zeus.ugent.be,,,,161,51.0231119,3.7102741,Zeus WPI,https://zeus.ugent.be
"[hsmr] Hackspace Marburg, Rudolf-Bultmann-Strasse 2b, 35039 Marburg, Germany",mail@hsmr.cc,ircs://irc.hackint.org:6697/#hsmr,public@lists.hsmr.cc,,162,50.81615,8.77851,[hsmr] Hackspace Marburg,https://hsmr.cc/
"Spiegelgraben 41, 96052 Bamberg, Bavaria, Germany",info@hackerspace-bamberg.de,,public@lists.hajjckerspace-bamberg.de,,163,49.901897799096474,10.892705619335176,backspace,https://www.hackerspace-bamberg.de
,,irc://freenode/#base48,public@lists.base48.cz,,164,,,base48,http://base48.cz/
"Pod Kapličkou 3149/18, 13000 Praha 3",,irc://irc.libera.chat/#brmlab,brmlab@brmlab.cz,,165,50.08346,14.48032,Brmlab,https://brmlab.cz/
"Proviantstraße 12a, 85049 Ingolstadt, Germany",,irc://irc.libera.chat/#bytewerk,public@bingo-ev.de,,166,48.76669,11.42594,bytewerk,https://bytewerk.org
"Rungestr. 20, 2. Hinterhof, 10179 Berlin, Germany",info@c-base.org,ircs://irc.hackint.org/#c-base,,,167,52.512363,13.419752,c-base,http://www.c-base.org
"Körnerstr. 72, 41464 Neuss, Germany",verein@fnordeingang.de,,,,168,51.186234,6.692624,fNordeingang,https://fnordeingang.de/
"Schillerstraße 25, 34117 Kassel",com@flipdot.org,irc://irc.libera.chat/#flipdot,,,169,51.320859320256616,9.495142012928502,flipdot,https://flipdot.org
"Heiligkreuzstr. 3 - 96450 Coburg, Germany",info@hackzogtum-coburg.de,irc://irc.freenode.net/hackzogtumCoburg,talk@chaostreff-coburg.de,,170,50.26315,10.96611,hackzogtum,https://hackzogtum-coburg.de
"1481-A Wordsworth St, Ferndale, MI 48083, USA",contact@i3detroit.org,libera.chat/#i3detroit,https://groups.google.com/forum/#!forum/i3detroit-public,,171,42.45375036492542,-83.11390310525896,i3Detroit,https://www.i3detroit.org
"floor 3, 64A, Tsar Asen Str., Sofia, Bulgaria",,irc://irc.ludost.net/#initlab,yo@initlab.org,,172,42.68795,23.31691,init Lab,https://initlab.org
"LindenstraÃe 14, 36037 Fulda, Germany",,irc://irc.hackint.org/#mag.lab,mag.lab@lists.open-mail.net,,173,50.55239,9.68076,mag.lab,https://maglab.space
"Fackenburger Allee 11, 23554 Luebeck, Germany",info+spaceapi@chaotikum.org,,info@chaotikum.org,,174,53.8688,10.6712,nbsp,http://chaotikum.org
"Brockmanngasse 15, 8010 Graz, Austria",vorstand@realraum.at,irc://irc.oftc.net/#realraum,realraum@realraum.at,,175,47.065554,15.450435,realraum,https://realraum.at
"Rengoldshauserstr., 88662 Ueberlingen, Germany",kommunikation@see-base.de,,,,176,47.77252,9.19997,see-base,https://see-base.de
"Hauptstraße 1, 77652 Offenburg, Germany",info@section77.de,,,,177,48.4771,7.9461,section77,https://section77.de/
"Ulmer Strasse 300, 70327 Stuttgart, Germany",kontakt@shackspace.de,irc://irc.libera.chat:6697/shackspace,public@shackspace.de,,178,48.7745,9.239,shackspace - stuttgart hackerspace,https://shackspace.de
"Josephstr. 2, 44791 Bochum, Germany",info@space-left.org,,discuss@space-left.org,,179,51.49367,7.2108,space-left,https://www.space-left.org
"Hochschulgruppe Turmlabor, c/o Fachschaftsrat Elektrotechnik, Helmholzstr. 18, Technische UniversitÃ¤t Dresden, 01062 Dresden, Germany",nachtsnochlicht@turmlabor.de,,,,180,51.02709,13.72358,turmlabor,http://www.turmlabor.de
"Augsburger Str. 23-25, 89231 Neu-Ulm, Germany",kontakt@temporaerhaus.de,,,,181,48.3962895,10.0019903,temporärhaus,https://temporaerhaus.de/
"Am Krebsgraben 15, 78048 VS-Villingen, Germany",info@vspace.one,,,,182,48.067688,8.444397,vspace.one,https://vspace.one
"Grünberger Str. 16, 10243 Berlin, Germany",info@x-hain.de,,,,183,52.5127904,13.4497773,xHain hack+makespace,https://x-hain.de
"Seilerstrasse 1, 08056 Zwickau, Germany",info@z-labor.space,irc://irc.hackint.eu/#z-labor,,,184,50.722616453,12.480350733,z-Labor Zwickau,https://z-labor.space
